【随時更新】ロシア ウクライナに軍事侵攻（8月5日の動き）	【随時更新】ロシア ウクライナに軍事侵攻（8月5日の動き）	【随時更新】ロシア ウクライナに軍事侵攻（8月5日の動き）	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	"1.) 【随時更新】 (zuiji kōshin): This means ""updated regularly"" or ""ongoing updates."" 随時 (zuiji) means ""as needed"" or ""at any time,"" and 更新 (kōshin) means ""update.""

2.) ロシア (Roshia): This is ""Russia,"" written in Katakana, which is commonly used for foreign names and terms.

3.) ウクライナ (Ukuraina): This is ""Ukraine,"" also written in Katakana for foreign names.

4.) に (ni): This is a particle used to indicate the direction or target of an action, in this case, ""to"" or ""against.""

5.) 軍事侵攻 (gunji shinkō): This means ""military invasion."" 軍事 (gunji) means ""military,"" and 侵攻 (shinkō) means ""invasion"" or ""attack.""

6.) （8月5日の動き）(8-gatsu 5-nichi no ugoki): This translates to ""Updates as of August 5."" 8月5日 (8-gatsu 5-nichi) refers to August 5th, and の (no) is a possessive particle indicating that the updates are related to this date. 動き (ugoki) means ""movement"" or ""updates"" in this context."					NHK_WEB_EASY
ロシアによるウクライナに対する軍事侵攻が続いています	ロシアによるウクライナに対する軍事侵攻が続いています	ロシアによるウクライナに対する軍事侵攻が続いています	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	Russia's military invasion of Ukraine is continuing.	"1.) ロシア (Roshia): This is ""Russia,"" written in Katakana.

2.) による (ni yoru): This phrase means ""by"" or ""due to"" in this context, indicating the agent performing the action. 

3.) ウクライナ (Ukuraina): This is ""Ukraine,"" written in Katakana.

4.) に対する (ni taisuru): This phrase means ""against"" or ""toward,"" indicating the target or recipient of an action. 

5.) 軍事侵攻 (gunji shinkō): This means ""military invasion."" 軍事 (gunji) means ""military,"" and 侵攻 (shinkō) means ""invasion.""

6.) が (ga): This is a particle that marks the subject of the sentence.

7.) 続いています (tsuzuiteimasu): This is the present continuous form of the verb ""続く"" (tsuzuku), which means ""to continue."" The verb is in its polite form with ""います"" (imasu) indicating ongoing action."					NHK_WEB_EASY
ウクライナの各地でロシア軍とウクライナ軍が戦闘を続けていて、大勢の市民が国外へ避難しています	ウクライナの各地でロシア軍とウクライナ軍が戦闘を続けていて、大勢の市民が国外へ避難しています	ウクライナの各地でロシア軍とウクライナ軍が戦闘を続けていて、大勢の市民が国外へ避難しています	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	In various locations in Ukraine, Russian and Ukrainian forces are continuing combat, and a large number of civilians are fleeing the country.	"1.) ウクライナの各地で (Ukuraina no kakuchi de): This means ""in various locations in Ukraine."" ウクライナ (Ukuraina) is ""Ukraine,"" の (no) is a possessive particle, and 各地 (kakuchi) means ""various places"" or ""locations."" で (de) indicates the location where the action is taking place.

2.) ロシア軍 (Roshia-gun): This means ""Russian forces"" or ""Russian military."" ロシア (Roshia) is ""Russia,"" and 軍 (gun) means ""military"" or ""forces.""

3.) と (to): This is a particle meaning ""and"" or ""with,"" used to connect nouns.

4.) ウクライナ軍 (Ukuraina-gun): This means ""Ukrainian forces"" or ""Ukrainian military."" ウクライナ (Ukuraina) is ""Ukraine,"" and 軍 (gun) means ""military"" or ""forces.""

5.) が (ga): This particle marks the subject of the sentence.

6.) 戦闘を続けていて (sentō o tsuzukete ite): This phrase means ""are continuing combat."" 戦闘 (sentō) means ""combat"" or ""battle,"" を (o) is the direct object particle, and 続けていて (tsuzukete ite) is the present continuous form of the verb ""続ける"" (tsuzukeru), meaning ""to continue.""

7.) 大勢の市民が (ōzei no shimin ga): This means ""a large number of civilians."" 大勢 (ōzei) means ""a large number,"" and 市民 (shimin) means ""civilians"" or ""citizens."" が (ga) marks the subject.

8.) 国外へ (kokugai e): This means ""to abroad"" or ""out of the country."" 国外 (kokugai) means ""abroad"" or ""outside the country,"" and へ (e) is a particle indicating direction.

9.) 避難しています (hinan shiteimasu): This means ""are fleeing"" or ""taking refuge."" 避難 (hinan) means ""evacuation"" or ""refuge,"" and しています (shiteimasu) is the present continuous form of the verb ""する"" (suru), meaning ""to do,"" here indicating ongoing action."					NHK_WEB_EASY
戦闘の状況や関係各国の外交など、ウクライナ情勢をめぐる5日（日本時間）の動きを随時更新でお伝えします	戦闘の状況や関係各国の外交など、ウクライナ情勢をめぐる5日（日本時間）の動きを随時更新でお伝えします	戦闘の状況や関係各国の外交など、ウクライナ情勢をめぐる5日（日本時間）の動きを随時更新でお伝えします	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	We will provide ongoing updates on the situation of the combat, diplomatic actions by related countries, and the situation in Ukraine as of the 5th (Japan time).	"1.) 戦闘の状況や (sentō no jōkyō ya): This means ""the situation of the combat and."" 戦闘 (sentō) means ""combat"" or ""battle,"" の (no) is a possessive particle indicating ""of,"" and 状況 (jōkyō) means ""situation."" や (ya) is a particle used to list items, implying ""and others.""

2.) 関係各国の外交など (kankei kakkoku no gaikō nado): This means ""diplomatic actions by related countries, etc."" 関係各国 (kankei kakkoku) means ""related countries"" or ""countries involved,"" の (no) indicates possession, and 外交 (gaikō) means ""diplomacy."" など (nado) means ""etc."" or ""and so on.""

3.) ウクライナ情勢をめぐる (Ukuraina jōsei o meguru): This means ""regarding the situation in Ukraine."" ウクライナ情勢 (Ukuraina jōsei) means ""the situation in Ukraine,"" with ウクライナ (Ukuraina) being ""Ukraine"" and 情勢 (jōsei) meaning ""situation"" or ""conditions."" を (o) is the direct object particle, and めぐる (meguru) means ""regarding"" or ""concerning.""

4.) 5日（日本時間）の (5-nichi (Nihon jikan) no): This means ""as of the 5th (Japan time)."" 5日 (5-nichi) refers to the 5th day of the month, and 日本時間 (Nihon jikan) means ""Japan time."" の (no) is a possessive particle indicating the date and time.

5.) 動きを随時更新でお伝えします (ugoki o zuiji kōshin de otsutae shimasu): This means ""We will provide ongoing updates."" 動き (ugoki) means ""updates"" or ""movement,"" を (o) is the direct object particle, 随時更新 (zuiji kōshin) means ""ongoing updates"" or ""regular updates,"" and で (de) indicates the manner in which updates will be provided. お伝えします (otsutae shimasu) is a polite way of saying ""we will inform"" or ""we will convey."""					NHK_WEB_EASY
"（日本とウクライナ、およびロシアのモスクワとは6時間の時差があります）
						

							
								
								
									【詳細】ロシア ウクライナに軍事侵攻（8月4日の動き）
									
								
							

							
								
								
									ウクライナ情勢 戦況の解説記事はこちら
									
								
							
							 
    
      
      戦況地図
      
        最新の戦況はこちら"	"（日本とウクライナ、およびロシアのモスクワとは6時間の時差があります）
						

							
								
								
									【詳細】ロシア ウクライナに軍事侵攻（8月4日の動き）
									
								
							

							
								
								
									ウクライナ情勢 戦況の解説記事はこちら
									
								
							
							 
    
      
      戦況地図
      
        最新の戦況はこちら"	"（日本とウクライナ、およびロシアのモスクワとは6時間の時差があります）
						

							
								
								
									【詳細】ロシア ウクライナに軍事侵攻（8月4日の動き）
									
								
							

							
								
								
									ウクライナ情勢 戦況の解説記事はこちら
									
								
							
							 
    
      
      戦況地図
      
        最新の戦況はこちら"	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	"(There is a 6-hour time difference between Japan, Ukraine, and Moscow, Russia.)

[Details] Russia's Military Invasion of Ukraine (Updates as of August 4)

For detailed analysis of the situation in Ukraine, click here

Combat Situation Map

For the latest combat situation, click here"	"1.) （日本とウクライナ、およびロシアのモスクワとは6時間の時差があります）(Nihon to Ukuraina, oyobi Roshia no Mosukuwa to wa 6-jikan no jisa ga arimasu): This means ""There is a 6-hour time difference between Japan, Ukraine, and Moscow, Russia."" 日本 (Nihon) is ""Japan,"" と (to) means ""and,"" ウクライナ (Ukuraina) is ""Ukraine,"" および (oyobi) means ""as well as,"" ロシア (Roshia) is ""Russia,"" の (no) indicates possession, モスクワ (Mosukuwa) is ""Moscow,"" と (to) is used again to mean ""and,"" 6時間 (6-jikan) means ""6 hours,"" の (no) is a possessive particle, 時差 (jisa) means ""time difference,"" and があります (ga arimasu) means ""there is.""

2.) 【詳細】ロシア ウクライナに軍事侵攻（8月4日の動き）(【Shōsai】 Roshia Ukuraina ni gunji shinkō (8-gatsu 4-nichi no ugoki)): This means ""[Details] Russia's Military Invasion of Ukraine (Updates as of August 4)."" 【詳細】 (Shōsai) means ""details,"" ロシア (Roshia) is ""Russia,"" ウクライナ (Ukuraina) is ""Ukraine,"" に (ni) indicates direction or target, 軍事侵攻 (gunji shinkō) means ""military invasion,"" and （8月4日の動き） (8-gatsu 4-nichi no ugoki) means ""updates as of August 4.""

3.) ウクライナ情勢 戦況の解説記事はこちら (Ukuraina jōsei senkyō no kaisetsu kiji wa kochira): This means ""For detailed analysis of the situation in Ukraine, click here."" ウクライナ情勢 (Ukuraina jōsei) means ""the situation in Ukraine,"" 戦況 (senkyō) means ""combat situation,"" の (no) is a possessive particle, 解説記事 (kaisetsu kiji) means ""analysis article,"" and はこちら (kochira) means ""here"" (referring to a link or location).

4.) 戦況地図 (Senkyō chizu): This means ""Combat Situation Map."" 戦況 (senkyō) means ""combat situation,"" and 地図 (chizu) means ""map.""

5.) 最新の戦況はこちら (Saishin no senkyō wa kochira): This means ""For the latest combat situation, click here."" 最新 (saishin) means ""latest"" or ""most recent,"" の (no) is a possessive particle, 戦況 (senkyō) means ""combat situation,"" and はこちら (kochira) means ""here"" (referring to a link or location)."					NHK_WEB_EASY
茶色のボタンを右から左に動かすと日ごとの地図が見られます	茶色のボタンを右から左に動かすと日ごとの地図が見られます	茶色のボタンを右から左に動かすと日ごとの地図が見られます	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	By moving the brown button from right to left, you can view the daily maps.	"1.) 茶色のボタン (chairo no botan): This means ""brown button."" 茶色 (chairo) means ""brown,"" and ボタン (botan) is ""button.""

2.) を (o): This is a particle that marks the direct object of the verb.

3.) 右から左に (migi kara hidari ni): This means ""from right to left."" 右 (migi) means ""right,"" から (kara) means ""from,"" 左 (hidari) means ""left,"" and に (ni) indicates the direction of movement.

4.) 動かすと (ugokasu to): This means ""by moving"" or ""if you move."" 動かす (ugokasu) is the verb ""to move,"" and と (to) is a conditional particle meaning ""if"" or ""when.""

5.) 日ごとの地図 (higoto no chizu): This means ""daily maps."" 日ごと (higoto) means ""daily"" or ""day by day,"" and 地図 (chizu) means ""maps.""

6.) が見られます (ga miraremasu): This means ""can be viewed."" が (ga) is a subject marker, and 見られます (miraremasu) is the potential form of the verb ""見る"" (miru), which means ""to see"" or ""to view,"" indicating that something can be viewed."					NHK_WEB_EASY
"2022年2月24日
                最新
              
            
            
              
              
            
          
        
      
      
    
 

							
								
										
								
							

							
								ゼレンスキー大統領 SNSで米製F16戦闘機到着を明らかに
								
										ウクライナのゼレンスキー大統領は4日、SNSで、アメリカ製のF16戦闘機がウクライナに到着したと明らかにしました"	"2022年2月24日
                最新
              
            
            
              
              
            
          
        
      
      
    
 

							
								
										
								
							

							
								ゼレンスキー大統領 SNSで米製F16戦闘機到着を明らかに
								
										ウクライナのゼレンスキー大統領は4日、SNSで、アメリカ製のF16戦闘機がウクライナに到着したと明らかにしました"	"2022年2月24日
                最新
              
            
            
              
              
            
          
        
      
      
    
 

							
								
										
								
							

							
								ゼレンスキー大統領 SNSで米製F16戦闘機到着を明らかに
								
										ウクライナのゼレンスキー大統領は4日、SNSで、アメリカ製のF16戦闘機がウクライナに到着したと明らかにしました"	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	"February 24, 2022
Latest

President Zelensky Reveals Arrival of U.S.-Made F-16 Fighter Jets on Social Media

On the 4th, Ukrainian President Zelensky revealed on social media that American-made F-16 fighter jets had arrived in Ukraine."	"1.) 2022年2月24日 (2022-nen 2-gatsu 24-nichi): This means ""February 24, 2022."" 2022年 (2022-nen) refers to the year 2022, 2月 (2-gatsu) refers to February, and 24日 (24-nichi) refers to the 24th day of the month.

2.) 最新 (saishin): This means ""latest"" or ""most recent.""

3.) ゼレンスキー大統領 (Zerensukī daitōryō): This means ""President Zelensky."" ゼレンスキー (Zerensukī) is ""Zelensky"" (the Ukrainian President), and 大統領 (daitōryō) means ""president.""

4.) SNSで (SNS de): This means ""on social media."" SNS (Social Networking Service) is commonly used in Japan to refer to social media platforms, and で (de) indicates the location or means by which an action is performed.

5.) 米製F16戦闘機 (bei-sei F16 sentōki): This means ""U.S.-made F-16 fighter jets."" 米製 (bei-sei) means ""U.S.-made"" (where 米 (bei) stands for America), F16 (F-16) is the fighter jet model, and 戦闘機 (sentōki) means ""fighter jet.""

6.) 到着を明らかに (tōchaku o akiraka ni): This means ""reveals the arrival."" 到着 (tōchaku) means ""arrival,"" を (o) is the direct object particle, and 明らかに (akiraka ni) means ""reveals"" or ""makes clear.""

7.) ウクライナのゼレンスキー大統領は4日 (Ukuraina no Zerensukī daitōryō wa 4-nichi): This means ""On the 4th, Ukrainian President Zelensky."" ウクライナの (Ukuraina no) means ""Ukrainian,"" ゼレンスキー大統領 (Zerensukī daitōryō) is ""President Zelensky,"" and 4日 (4-nichi) refers to the 4th day of the month.

8.) アメリカ製のF16戦闘機がウクライナに到着したと明らかにしました (Amerika-sei no F16 sentōki ga Ukuraina ni tōchaku shita to akiraka ni shimashita): This means ""revealed that American-made F-16 fighter jets had arrived in Ukraine."" アメリカ製 (Amerika-sei) means ""American-made,"" の (no) is a possessive particle, F16 (F-16) is the model of the fighter jets, 戦闘機 (sentōki) means ""fighter jets,"" が (ga) marks the subject, ウクライナに (Ukuraina ni) means ""in Ukraine,"" 到着した (tōchaku shita) means ""had arrived,"" と (to) is a quotative particle, and 明らかにしました (akiraka ni shimashita) means ""revealed"" or ""made clear."""					NHK_WEB_EASY
この中で、ゼレンスキー大統領は「国のために、この機体の扱い方を習得し、使い始めている仲間を誇りに思う	この中で、ゼレンスキー大統領は「国のために、この機体の扱い方を習得し、使い始めている仲間を誇りに思う	この中で、ゼレンスキー大統領は「国のために、この機体の扱い方を習得し、使い始めている仲間を誇りに思う	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	"In this context, President Zelensky said, ""For the sake of the country, I am proud of the comrades who have learned how to handle these aircraft and have begun using them."""	"1.) この中で (kono naka de): This means ""in this context"" or ""among these."" この (kono) means ""this,"" 中 (naka) means ""inside"" or ""among,"" and で (de) indicates the context or setting.

2.) ゼレンスキー大統領は (Zerensukī daitōryō wa): This means ""President Zelensky."" ゼレンスキー (Zerensukī) is ""Zelensky,"" and 大統領 (daitōryō) means ""president."" は (wa) is the topic marker.

3.) 「国のために (kuni no tame ni): This means ""for the sake of the country."" 国 (kuni) means ""country,"" の (no) is a possessive particle, and ために (tame ni) means ""for the sake of"" or ""to.""

4.) この機体の扱い方を習得し (kono kitai no atsukai-kata o shūtoku shi): This means ""learned how to handle these aircraft."" この (kono) means ""these,"" 機体 (kitai) means ""aircraft,"" の (no) indicates possession, 扱い方 (atsukai-kata) means ""handling"" or ""way of handling,"" and 習得し (shūtoku shi) is the verb ""to learn"" in its connective form.

5.) 使い始めている仲間を (tsukai hajimete iru nakama o): This means ""comrades who have begun using."" 使い始めている (tsukai hajimete iru) means ""have begun using,"" and 仲間 (nakama) means ""comrades"" or ""fellow members."" を (o) marks the direct object.

6.) 誇りに思う (hokori ni omou): This means ""am proud."" 誇り (hokori) means ""pride,"" and 思う (omou) means ""to think"" or ""to feel."" When combined, it means ""to feel proud."""					NHK_WEB_EASY
ウクライナに勝利と平和をもたらす成果を出してほしい」として、F16の使用開始で戦況を好転させたいという考えを示しました	ウクライナに勝利と平和をもたらす成果を出してほしい」として、F16の使用開始で戦況を好転させたいという考えを示しました	ウクライナに勝利と平和をもたらす成果を出してほしい」として、F16の使用開始で戦況を好転させたいという考えを示しました	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	He expressed his desire to achieve results that will bring victory and peace to Ukraine, and showed his intention to improve the situation by starting the use of the F-16s.	"1.) ウクライナに勝利と平和をもたらす成果を出してほしい (Ukuraina ni shōri to heiwa o motarasu seika o dashite hoshī): This means ""He expressed his desire to achieve results that will bring victory and peace to Ukraine."" ウクライナに (Ukuraina ni) means ""to Ukraine,"" 勝利 (shōri) means ""victory,"" と (to) means ""and,"" 平和 (heiwa) means ""peace,"" を (o) is the direct object particle, もたらす (motarasu) means ""to bring"" or ""to deliver,"" 成果 (seika) means ""results,"" and 出してほしい (dashite hoshī) means ""want to achieve"" or ""hope to produce.""

2.) 「として (to shite): This means ""he expressed"" or ""stated."" It is used to indicate the manner or role in which something is expressed.

3.) F16の使用開始で (F16 no shiyō kaishi de): This means ""by starting the use of the F-16s."" F16 (F-16) is the fighter jet model, の (no) indicates possession, 使用開始 (shiyō kaishi) means ""starting the use"" or ""commencement of use,"" and で (de) indicates the means or method.

4.) 戦況を好転させたいという考えを示しました (senkyō o kōten sasetai to iu kangae o shimeshimashita): This means ""showed his intention to improve the situation."" 戦況 (senkyō) means ""combat situation,"" を (o) is the direct object particle, 好転させたい (kōten sasetai) means ""want to improve"" or ""hope to turn around,"" と (to) is a quotative particle, いう (iu) means ""to say"" or ""to express,"" 考え (kangae) means ""intention"" or ""thought,"" and 示しました (shimeshimashita) means ""showed"" or ""revealed."""					NHK_WEB_EASY
SNSに投稿された動画には、ウクライナの国章を垂直尾翼に記したF16がミサイルを搭載して実際に飛行する様子も映っています	SNSに投稿された動画には、ウクライナの国章を垂直尾翼に記したF16がミサイルを搭載して実際に飛行する様子も映っています	SNSに投稿された動画には、ウクライナの国章を垂直尾翼に記したF16がミサイルを搭載して実際に飛行する様子も映っています	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	The video posted on social media shows an F-16 with the Ukrainian coat of arms on its vertical stabilizers, equipped with missiles, actually flying in the footage.	"1.) SNSに投稿された動画には (SNS ni tōkō sareta dōga ni wa): This means ""The video posted on social media."" SNS (Social Networking Service) refers to social media platforms, 投稿された (tōkō sareta) is the passive form of ""to post,"" meaning ""posted,"" and 動画 (dōga) means ""video."" には (ni wa) indicates the location or context where something is observed.

2.) ウクライナの国章を垂直尾翼に記したF16が (Ukuraina no kokushō o suichoku biyoku ni shirusha F16 ga): This means ""An F-16 with the Ukrainian coat of arms on its vertical stabilizers."" ウクライナの国章 (Ukuraina no kokushō) means ""Ukrainian coat of arms,"" with 国章 (kokushō) meaning ""coat of arms,"" and 垂直尾翼 (suichoku biyoku) means ""vertical stabilizers."" 記した (shirusha) means ""marked"" or ""inscribed.""

3.) ミサイルを搭載して (misairu o tōsai shite): This means ""equipped with missiles."" ミサイル (misairu) means ""missiles,"" を (o) is the direct object particle, and 搭載して (tōsai shite) means ""equipped with"" or ""carrying.""

4.) 実際に飛行する様子も映っています (jissai ni hikō suru yōsu mo utsutteimasu): This means ""actually flying in the footage."" 実際に (jissai ni) means ""actually"" or ""in reality,"" 飛行する (hikō suru) means ""to fly,"" 様子 (yōsu) means ""appearance"" or ""state,"" and 映っています (utsutteimasu) is the present continuous form of ""to appear in footage,"" indicating that something is being shown in the video."					NHK_WEB_EASY
ウクライナはロシアに比べて航空戦力の劣勢が伝えられてきました	ウクライナはロシアに比べて航空戦力の劣勢が伝えられてきました	ウクライナはロシアに比べて航空戦力の劣勢が伝えられてきました	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	Ukraine has been reported to be at a disadvantage in air power compared to Russia.	"1.) ウクライナは (Ukuraina wa): This means ""Ukraine."" ウクライナ (Ukuraina) is ""Ukraine,"" and は (wa) is the topic marker.

2.) ロシアに比べて (Roshia ni kurabete): This means ""compared to Russia."" ロシア (Roshia) is ""Russia,"" に (ni) is a particle indicating direction or comparison, and 比べて (kurabete) is the te-form of the verb ""比べる"" (kuraberu), meaning ""to compare.""

3.) 航空戦力の (kōkū senryoku no): This means ""air power."" 航空戦力 (kōkū senryoku) means ""air power"" or ""air strength,"" with 航空 (kōkū) meaning ""aviation"" or ""air,"" and 戦力 (senryoku) meaning ""military strength"" or ""power."" の (no) is a possessive particle.

4.) 劣勢が (ressē ga): This means ""disadvantage."" 劣勢 (ressē) means ""disadvantage"" or ""inferiority,"" and が (ga) is the subject marker.

5.) 伝えられてきました (tsutaerarete kimashita): This means ""has been reported."" 伝えられて (tsutaerarete) is the passive form of ""伝える"" (tsutaeru), meaning ""to report"" or ""to convey,"" and きました (kimashita) is the past tense of ""くる"" (kuru), which here indicates that the reporting has been ongoing up to the present."					NHK_WEB_EASY
F16の供与について、イギリスの経済誌「エコノミスト」は4日、ウクライナは最初の10機を受け取ったと伝えています	F16の供与について、イギリスの経済誌「エコノミスト」は4日、ウクライナは最初の10機を受け取ったと伝えています	F16の供与について、イギリスの経済誌「エコノミスト」は4日、ウクライナは最初の10機を受け取ったと伝えています	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	"Regarding the provision of F-16s, the British economic magazine ""The Economist"" reported on the 4th that Ukraine received the first 10 aircraft."	"1.) F16の供与について (F16 no kyōyo ni tsuite): This means ""Regarding the provision of F-16s."" F16 (F-16) is the fighter jet model, の (no) indicates possession, and 供与について (kyōyo ni tsuite) means ""regarding the provision"" or ""concerning the supply.""

2.) イギリスの経済誌「エコノミスト」は (Igirisu no keizai-shi ""Ekonimisuto"" wa): This means ""The British economic magazine 'The Economist.'"" イギリス (Igirisu) means ""Britain"" or ""UK,"" の (no) indicates possession, 経済誌 (keizai-shi) means ""economic magazine,"" and 「エコノミスト」 (Ekonimisuto) is the name ""The Economist."" は (wa) is the topic marker.

3.) 4日 (4-nichi): This means ""the 4th."" 4日 (4-nichi) refers to the 4th day of the month.

4.) ウクライナは (Ukuraina wa): This means ""Ukraine."" ウクライナ (Ukuraina) is ""Ukraine,"" and は (wa) is the topic marker.

5.) 最初の10機を受け取ったと (saisho no 10-ki o uketotta to): This means ""received the first 10 aircraft."" 最初の (saisho no) means ""first,"" 10機 (10-ki) means ""10 aircraft"" (機 (ki) is a counter for machines or vehicles), を (o) is the direct object particle, and 受け取った (uketotta) is the past tense of the verb ""受け取る"" (uketoru), meaning ""to receive.""

6.) 伝えています (tsutaeteimasu): This means ""reported."" 伝えています (tsutaeteimasu) is the present continuous form of the verb ""伝える"" (tsutaeru), meaning ""to report"" or ""to convey,"" indicating that the reporting is ongoing or current."					NHK_WEB_EASY
