【随時更新】ロシア ウクライナに軍事侵攻（8月5日の動き）	【随時更新】ロシア ウクライナに軍事侵攻（8月5日の動き）	【随時更新】ロシア ウクライナに軍事侵攻（8月5日の動き）	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	[Updated Regularly] Russia's Military Invasion of Ukraine (Updates as of August 5)	"1.) 【随時更新】 (zuiji kōshin): This means ""updated regularly"" or ""ongoing updates."" 随時 (zuiji) means ""as needed"" or ""at any time,"" and 更新 (kōshin) means ""update.""
"米国務長官 イラン側の報復攻撃 “早ければ24～48時間以内か”
								
										アメリカのニュースサイト、アクシオスは、複数の情報筋の話として、ブリンケン国務長官が4日、G7の外相に対し、イランとヒズボラによる報復攻撃について、攻撃開始の正確なタイミングが分からないものの、早ければ24時間から48時間以内に始まる可能性があると伝えたと報じました"	"米国務長官 イラン側の報復攻撃 “早ければ24～48時間以内か”
								
										アメリカのニュースサイト、アクシオスは、複数の情報筋の話として、ブリンケン国務長官が4日、G7の外相に対し、イランとヒズボラによる報復攻撃について、攻撃開始の正確なタイミングが分からないものの、早ければ24時間から48時間以内に始まる可能性があると伝えたと報じました"	"米国務長官 イラン側の報復攻撃 “早ければ24～48時間以内か”
								
										アメリカのニュースサイト、アクシオスは、複数の情報筋の話として、ブリンケン国務長官が4日、G7の外相に対し、イランとヒズボラによる報復攻撃について、攻撃開始の正確なタイミングが分からないものの、早ければ24時間から48時間以内に始まる可能性があると伝えたと報じました"	[Updated regularly] Israel, Palestine, Middle East situation (August 5)	"U.S. Secretary of State: Iran's retaliatory attacks ""could start within 24 to 48 hours at the earliest""

American news site Axios reported, based on multiple sources, that Secretary of State Antony Blinken informed G7 foreign ministers on the 4th that while the exact timing of retaliatory attacks by Iran and Hezbollah is unknown, they could potentially begin within 24 to 48 hours at the earliest."	"1.) 米国務長官 (Beikoku kokumu choukans): This means ""U.S. Secretary of State."" 米国 (Beikoku) means ""United States,"" and 国務長官 (kokumu choukans) means ""Secretary of State.""

2.) イラン側の報復攻撃 (Iran-gawa no houfuku kougeki): This means ""Iran's retaliatory attacks."" イラン側 (Iran-gawa) refers to ""the Iranian side,"" and 報復攻撃 (houfuku kougeki) means ""retaliatory attacks.""

3.) “早ければ24～48時間以内か” (""hayakereba 24~48 jikan inai ka""): This means ""could start within 24 to 48 hours at the earliest."" 早ければ (hayakereba) means ""if it is early"" or ""at the earliest,"" 24～48時間 (24~48 jikan) means ""24 to 48 hours,"" and 内に (inai ni) means ""within.""

4.) アメリカのニュースサイト、アクシオスは (Amerika no nyuusu saito, Akushiosu wa): This means ""American news site Axios."" アメリカのニュースサイト (Amerika no nyuusu saito) means ""American news site,"" and アクシオス (Akushiosu) is the transliteration of ""Axios.""

5.) 複数の情報筋の話として (fukusū no jōhōsuji no hanashi to shite): This means ""based on multiple sources."" 複数の (fukusū no) means ""multiple,"" 情報筋 (jōhōsuji) means ""sources,"" and の話として (no hanashi to shite) means ""based on the information.""

6.) ブリンケン国務長官が4日 (Burinken kokumu choukans ga 4-nichi): This means ""Secretary of State Antony Blinken on the 4th."" ブリンケン (Burinken) is ""Blinken,"" 国務長官 (kokumu choukans) is ""Secretary of State,"" and 4日 (4-nichi) is ""the 4th.""

7.) G7の外相に対し (G7 no gaishou ni taishi): This means ""to G7 foreign ministers."" G7 (G7) refers to the Group of Seven, 外相 (gaishou) means ""foreign ministers,"" and に対し (ni taishi) means ""to"" or ""regarding.""

8.) イランとヒズボラによる報復攻撃 (Iran to Hizubora ni yoru houfuku kougeki): This means ""retaliatory attacks by Iran and Hezbollah."" イラン (Iran) and ヒズボラ (Hizubora) are ""Iran"" and ""Hezbollah,"" respectively, and による (ni yoru) means ""by.""

9.) 攻撃開始の正確なタイミングが分からないものの (kougeki kaishi no seikaku na taiming ga wakaranai mono no): This means ""while the exact timing of the attacks is unknown."" 攻撃開始 (kougeki kaishi) means ""attack start,"" 正確な (seikaku na) means ""exact,"" タイミング (taimingu) means ""timing,"" and 分からない (wakaranai) means ""unknown.""

10.) 早ければ24時間から48時間以内に始まる可能性があると伝えた (hayakereba 24 jikan kara 48 jikan inai ni hajimaru kanousei ga aru to tsutaeta): This means ""there is a possibility they could begin within 24 to 48 hours at the earliest."" 早ければ (hayakereba) means ""at the earliest,"" 24時間から48時間以内に (24 jikan kara 48 jikan inai ni) means ""within 24 to 48 hours,"" 始まる (hajimaru) means ""to begin,"" 可能性がある (kanousei ga aru) means ""there is a possibility,"" and と伝えた (to tsutaeta) means ""reported.""

11.) と報じました (to houjimashita): This means ""reported."" と (to) is used for quoting, and 報じました (houjimashita) is the past tense of 報じる (houjiru), meaning ""to report."""					NHK_WEB_EASY
同時にブリンケン長官は、最大限の抑制を促すため、G7各国がイランとヒズボラに加えイスラエルに対して外交的な圧力をかけるよう要請したということです	同時にブリンケン長官は、最大限の抑制を促すため、G7各国がイランとヒズボラに加えイスラエルに対して外交的な圧力をかけるよう要請したということです	同時にブリンケン長官は、最大限の抑制を促すため、G7各国がイランとヒズボラに加えイスラエルに対して外交的な圧力をかけるよう要請したということです	[Updated regularly] Israel, Palestine, Middle East situation (August 5)	At the same time, Secretary Blinken requested that the G7 countries apply diplomatic pressure on not only Iran and Hezbollah but also Israel, in order to encourage maximum restraint.	"1.) 同時に (dōji ni): This means ""at the same time.""

2.) ブリンケン長官は (Burinken chōkan wa): This means ""Secretary Blinken."" ブリンケン (Burinken) is ""Blinken,"" and 長官 (chōkan) means ""Secretary"" or ""Director.""

3.) 最大限の抑制を促すため (saidaigen no yokusei o unagasu tame): This means ""to encourage maximum restraint."" 最大限の (saidaigen no) means ""maximum,"" 抑制 (yokusei) means ""restraint,"" and を促すため (o unagasu tame) means ""to encourage.""

4.) G7各国が (G7 kakkoku ga): This means ""the G7 countries."" G7 (G7) refers to the Group of Seven, and 各国 (kakkoku) means ""each country"" or ""countries.""

5.) イランとヒズボラに加え (Iran to Hizubora ni kuwae): This means ""in addition to Iran and Hezbollah."" イラン (Iran) and ヒズボラ (Hizubora) are ""Iran"" and ""Hezbollah,"" and に加え (ni kuwae) means ""in addition to.""

6.) イスラエルに対して (Isuraeru ni taishite): This means ""against Israel."" イスラエル (Isuraeru) is ""Israel,"" and に対して (ni taishite) means ""against"" or ""toward.""

7.) 外交的な圧力をかけるよう (gaikō-teki na atsuryoku o kakeru yō): This means ""to apply diplomatic pressure."" 外交的な (gaikō-teki na) means ""diplomatic,"" 圧力 (atsuryoku) means ""pressure,"" and をかけるよう (o kakeru yō) means ""to apply.""

8.) 要請したということです (yōsei shita to iu koto desu): This means ""requested."" 要請した (yōsei shita) is the past form of 要請する (yōsei suru), meaning ""to request,"" と (to) is used for quoting, and ということです (to iu koto desu) means ""it is said"" or ""it is reported."""					NHK_WEB_EASY
"緊張緩和目指した動き ヨルダン外相 イラン大統領などと会談
								
										一方、緊張緩和を目指した動きも出ていて、ヨルダンのサファディ外相は、4日、イランを訪問して、ペゼシュキアン大統領やバゲリ外相代行と会談し、中東で緊張が高まっていることについて意見を交わしたということです"	"緊張緩和目指した動き ヨルダン外相 イラン大統領などと会談
								
										一方、緊張緩和を目指した動きも出ていて、ヨルダンのサファディ外相は、4日、イランを訪問して、ペゼシュキアン大統領やバゲリ外相代行と会談し、中東で緊張が高まっていることについて意見を交わしたということです"	"緊張緩和目指した動き ヨルダン外相 イラン大統領などと会談
								
										一方、緊張緩和を目指した動きも出ていて、ヨルダンのサファディ外相は、4日、イランを訪問して、ペゼシュキアン大統領やバゲリ外相代行と会談し、中東で緊張が高まっていることについて意見を交わしたということです"	[Updated regularly] Israel, Palestine, Middle East situation (August 5)	"Efforts to Ease Tensions: Jordanian Foreign Minister Holds Talks with Iranian President and Others

On the other hand, there are also efforts to ease tensions. Jordan's Foreign Minister Safadi visited Iran on the 4th, where he held talks with President Pezeshkian and Acting Foreign Minister Bagheri, exchanging views on the increasing tensions in the Middle East."	"1.) 緊張緩和目指した動き (kinchou kanwa mezasita ugoki): This means ""efforts to ease tensions."" 緊張緩和 (kinchou kanwa) means ""easing tensions,"" 目指した (mezasita) means ""aimed at"" or ""targeting,"" and 動き (ugoki) means ""movement"" or ""efforts.""

2.) ヨルダン外相 (Yorudan gaishou): This means ""Jordanian Foreign Minister."" ヨルダン (Yorudan) is ""Jordan,"" and 外相 (gaishou) means ""Foreign Minister.""

3.) イラン大統領などと会談 (Iran daitōryō nado to kaidan): This means ""holds talks with Iranian President and others."" イラン大統領 (Iran daitōryō) means ""Iranian President,"" など (nado) means ""and others,"" and 会談 (kaidan) means ""talks"" or ""meeting.""

4.) 一方 (ippō): This means ""on the other hand.""

5.) 緊張緩和を目指した動きも出ていて (kinchou kanwa o mezasita ugoki mo dete ite): This means ""there are also efforts to ease tensions."" 緊張緩和 (kinchou kanwa) means ""easing tensions,"" を目指した (o mezasita) means ""aimed at,"" and 動きも出ていて (ugoki mo dete ite) means ""there are also efforts"" (with 出ていて (dete ite) indicating the ongoing presence of these efforts).

6.) ヨルダンのサファディ外相は (Yorudan no Safadi gaishou wa): This means ""Jordan's Foreign Minister Safadi."" ヨルダンの (Yorudan no) means ""Jordan's,"" サファディ (Safadi) is the name ""Safadi,"" and 外相 (gaishou) means ""Foreign Minister.""

7.) 4日 (4-nichi): This means ""on the 4th.""

8.) イランを訪問して (Iran o hōmon shite): This means ""visited Iran."" イラン (Iran) is ""Iran,"" and 訪問して (hōmon shite) is the te-form of 訪問する (hōmon suru), meaning ""to visit.""

9.) ペゼシュキアン大統領やバゲリ外相代行と (Pezeshkian daitōryō ya Bagheri gaishou daikō to): This means ""with President Pezeshkian and Acting Foreign Minister Bagheri."" ペゼシュキアン大統領 (Pezeshkian daitōryō) is ""President Pezeshkian,"" バゲリ外相代行 (Bagheri gaishou daikō) is ""Acting Foreign Minister Bagheri,"" and と (to) means ""with.""

10.) 会談し (kaidan shi): This means ""held talks."" 会談 (kaidan) means ""talks"" or ""meeting,"" and し (shi) is the te-form of する (suru), meaning ""to do.""

11.) 中東で緊張が高まっていることについて (Chūtō de kinchou ga takamatte iru koto ni tsuite): This means ""regarding the increasing tensions in the Middle East."" 中東で (Chūtō de) means ""in the Middle East,"" 緊張 (kinchou) means ""tensions,"" が (ga) marks the subject, 高まっている (takamatte iru) means ""is increasing,"" ことについて (koto ni tsuite) means ""regarding"" or ""about.""

12.) 意見を交わしたということです (iken o kawashita to iu koto desu): This means ""exchanged views."" 意見を交わした (iken o kawashita) means ""exchanged views,"" and ということです (to iu koto desu) means ""it is said"" or ""it is reported."""					NHK_WEB_EASY
サファディ外相はSNSの投稿で「この地域が安全、平和、そして安定のもとで暮らせることを望んでいる」と語ったということです	サファディ外相はSNSの投稿で「この地域が安全、平和、そして安定のもとで暮らせることを望んでいる」と語ったということです	サファディ外相はSNSの投稿で「この地域が安全、平和、そして安定のもとで暮らせることを望んでいる」と語ったということです	[Updated regularly] Israel, Palestine, Middle East situation (August 5)	Foreign Minister Safadi stated in a social media post that he hopes the region can live under safety, peace, and stability.	"1.) サファディ外相は (Safadi gaishou wa): This means ""Foreign Minister Safadi."" サファディ (Safadi) is the name ""Safadi,"" and 外相 (gaishou) means ""Foreign Minister.""

2.) SNSの投稿で (SNS no tōkō de): This means ""in a social media post."" SNS (SNS) refers to ""social media,"" 投稿 (tōkō) means ""post,"" and で (de) indicates the means or context.

3.) 「この地域が安全、平和、そして安定のもとで暮らせることを望んでいる」 (kono chiiki ga anzen, heiwa, soshite antei no moto de kurasero koto o nozonde iru): This means ""that he hopes the region can live under safety, peace, and stability."" 

   - この地域 (kono chiiki): ""this region""
   - が (ga): subject marker
   - 安全 (anzen): ""safety""
   - 平和 (heiwa): ""peace""
   - そして (soshite): ""and""
   - 安定 (antei): ""stability""
   - のもとで (no moto de): ""under"" or ""in the context of""
   - 暮らせる (kuraseru): ""can live"" or ""is able to live""
   - ことを望んでいる (koto o nozonde iru): ""hopes"" or ""wishes for"" (with こと (koto) being the nominalizer and 望んでいる (nozonde iru) meaning ""hoping"")

4.) と語ったということです (to katatta to iu koto desu): This means ""stated."" と (to) is used for quoting, 語った (katatta) is the past form of 語る (kataru), meaning ""to state"" or ""to speak,"" and ということです (to iu koto desu) means ""it is said"" or ""it is reported."""					NHK_WEB_EASY
"米国防長官 イスラエル国防相に安全保障と自衛権への支持伝える
								
										アメリカのオースティン国防長官は4日、イスラエルのガラント国防相と電話で会談しました"	"米国防長官 イスラエル国防相に安全保障と自衛権への支持伝える
								
										アメリカのオースティン国防長官は4日、イスラエルのガラント国防相と電話で会談しました"	"米国防長官 イスラエル国防相に安全保障と自衛権への支持伝える
								
										アメリカのオースティン国防長官は4日、イスラエルのガラント国防相と電話で会談しました"	[Updated regularly] Israel, Palestine, Middle East situation (August 5)	"U.S. Defense Secretary Conveys Support for Israel's Security and Right to Self-Defense

On the 4th, U.S. Defense Secretary Austin held a phone conversation with Israeli Defense Minister Gallant."	"1.) 米国防長官 (Beikoku bōkō chōkan): This means ""U.S. Defense Secretary."" 米国 (Beikoku) means ""United States,"" 防長官 (bōkō chōkan) means ""Defense Secretary.""

2.) イスラエル国防相に (Isuraeru kokubōshō ni): This means ""to Israeli Defense Minister."" イスラエル (Isuraeru) is ""Israel,"" and 国防相 (kokubōshō) means ""Defense Minister.""

3.) 安全保障と自衛権への支持 (anzen hoshō to jieiken e no shiji): This means ""support for security and self-defense rights."" 安全保障 (anzen hoshō) means ""security,"" 自衛権 (jieiken) means ""right to self-defense,"" and への (e no) means ""toward"" or ""for.""

4.) 伝える (tsutaeru): This means ""to convey"" or ""to communicate.""

5.) アメリカのオースティン国防長官は (Amerika no Ōsutīn kokubōchōkan wa): This means ""U.S. Defense Secretary Austin."" アメリカの (Amerika no) means ""U.S.,"" オースティン (Ōsutīn) is ""Austin,"" and 国防長官 (kokubōchōkan) means ""Defense Secretary.""

6.) 4日 (4-nichi): This means ""on the 4th.""

7.) イスラエルのガラント国防相と (Isuraeru no Garanto kokubōshō to): This means ""with Israeli Defense Minister Gallant."" イスラエルの (Isuraeru no) means ""Israeli,"" ガラント (Garanto) is the transliteration of ""Gallant,"" and 国防相 (kokubōshō) means ""Defense Minister.""

8.) 電話で会談しました (denwa de kaidan shimashita): This means ""held a phone conversation."" 電話で (denwa de) means ""by phone,"" and 会談しました (kaidan shimashita) is the past form of 会談する (kaidan suru), meaning ""to hold a conversation"" or ""to discuss."""					NHK_WEB_EASY
